prevalence,ppv,ppv_95ci_low,ppv_95ci_high,npv,npv_95ci_low,npv_95ci_high,p_pos,p_pos_low,p_pos_high,fdr,fdr_95ci_low,fdr_95ci_high,fomr,fomr_95ci_low,fomr_95ci_high
0.47,0.9684471638829172,0.9535706776929007,0.9784626926323028,0.746018777323873,0.7231115837787916,0.769177608845888,0.30234999999999995,0.31991000000000003,0.28537999999999997,0.031552836117082816,0.02153730736769721,0.046429322307099286,0.253981222676127,0.23082239115411196,0.2768884162212084
0.475,0.9690544412607449,0.9544508068714211,0.978881411000232,0.7421990282526544,0.7190770527498771,0.7655967199793152,0.305375,0.32317500000000005,0.28814999999999996,0.030945558739255086,0.02111858899976804,0.04554919312857886,0.2578009717473456,0.23440328002068478,0.2809229472501229
0.48,0.9696498054474707,0.9553141757184105,0.9792917534615856,0.7383458646616541,0.7150110001692334,0.7619811152681275,0.3084,0.32644,0.29091999999999996,0.030350194552529297,0.02070824653841441,0.044685824281589515,0.2616541353383459,0.2380188847318725,0.28498899983076664
0.485,0.9702336035963716,0.956161258469815,0.9796939688509425,0.7344588461678103,0.7109130551740738,0.7583302874107669,0.311425,0.329705,0.29369,0.029766396403628437,0.02030603114905749,0.043838741530184966,0.2655411538321897,0.2416697125892331,0.28908694482592623
0.49,0.9708061695023056,0.9569925116373205,0.9800882962429047,0.7305375246152723,0.7067828410609204,0.7546437191730506,0.31445,0.33297000000000004,0.29645999999999995,0.029193830497694417,0.019911703757095278,0.043007488362679536,0.2694624753847277,0.24535628082694938,0.2932171589390796
0.495,0.9713678242381291,0.957808374828727,0.980474965425967,0.7265814439031537,0.7026199751701699,0.7509208831438838,0.317475,0.336235,0.29923,0.028632175761870937,0.019525034574032984,0.04219162517127295,0.2734185560968463,0.24907911685611617,0.29738002482983006
0.5,0.9719188767550702,0.9586092715231788,0.9808541973490427,0.7225901398086828,0.6984240687679083,0.7471612414837244,0.3205,0.3395,0.302,0.02808112324492984,0.019145802650957333,0.04139072847682124,0.2774098601913172,0.2528387585162756,0.3015759312320917
0.505,0.9724596244494242,0.9593956098041145,0.9812262045424707,0.7185631398056099,0.6941947269249025,0.7433642456655534,0.323525,0.34276500000000004,0.30477,0.027540375550575757,0.01877379545752933,0.040604390195885465,0.28143686019439007,0.25663575433444663,0.30580527307509753
0.51,0.9729903536977492,0.960167783052611,0.9815911915151866,0.7144999628777192,0.6899315483926869,0.739529336208083,0.32655,0.34603,0.30754000000000004,0.027009646302250778,0.01840880848481341,0.03983221694738903,0.2855000371222808,0.26047066379191697,0.3100684516073131
0.515,0.9735113403625881,0.96092617060359,0.9819493551296182,0.7104001193272924,0.6856341254766634,0.7356559424009343,0.329575,0.349295,0.31031,0.02648865963741187,0.01805064487038177,0.03907382939641002,0.2895998806727076,0.26434405759906565,0.31436587452333664
0.52,0.9740228502705953,0.9616711383671904,0.9823008849557522,0.7062631105783638,0.6813020439061317,0.7317434820215001,0.3326,0.35256000000000004,0.31308,0.02597714972940468,0.017699115044247815,0.038328861632809574,0.2937368894216362,0.2682565179784999,0.3186979560938683
0.525,0.9745251396648045,0.9624030394174449,0.9826459636057051,0.7020884289746002,0.676934882701162,0.7277913610431949,0.335625,0.355825,0.31585,0.025474860335195526,0.01735403639429489,0.03759696058255513,0.2979115710253998,0.27220863895680514,0.323065117298838
0.53,0.975018455632659,0.9631222145502478,0.9829847670500431,0.6978755575716337,0.6725322140362207,0.7237989733347896,0.33865000000000006,0.35909,0.31862,0.024981544367341013,0.017015232949956882,0.036877785449752176,0.30212444242836634,0.2762010266652104,0.32746778596377935
0.535,0.9755030365113047,0.9638289928124708,0.9833174649170012,0.6936239699236698,0.6680936031004553,0.7197657003505086,0.341675,0.36235500000000004,0.32139,0.024496963488695345,0.016682535082998773,0.03617100718752919,0.3063760300763302,0.2802342996494914,0.3319063968995447
0.54,0.9759791122715404,0.9645236920039486,0.9836442207756688,0.6893331298641843,0.6636186079545454,0.7156909108105552,0.3447,0.36562000000000006,0.32416,0.02402088772845956,0.01635577922433118,0.03547630799605139,0.31066687013581573,0.28430908918944475,0.3363813920454546
0.545,0.9764469048817311,0.9652066191539472,0.9839651924041368,0.6850024912805182,0.6591067793840165,0.711573960371723,0.34772500000000006,0.3688850000000001,0.32693,0.023553095118268863,0.016034807595863176,0.03479338084605277,0.31499750871948184,0.28842603962827695,0.3408932206159835
0.55,0.9769066286528867,0.9658780709736124,0.9842805320435308,0.6806314978821717,0.6545576607489183,0.707414191287728,0.35075,0.3721500000000001,0.3297,0.023093371347113312,0.01571946795646917,0.034121929026387554,0.3193685021178283,0.292585808712272,0.3454423392510817
0.555,0.9773584905660377,0.9665383342858003,0.9845903866387865,0.6762195829625904,0.6499707878297605,0.7032109320588871,0.35377500000000006,0.37541500000000005,0.33247,0.02264150943396226,0.015409613361213492,0.03346166571419973,0.32378041703740956,0.2967890679411129,0.3500292121702395
0.56,0.9778026905829597,0.9671876864335998,0.9848948980669695,0.6717661691542288,0.645345688669595,0.6989634970707527,0.3568,0.37868000000000007,0.33524000000000004,0.022197309417040345,0.015105101933030496,0.03281231356640024,0.3282338308457712,0.30103650292924733,0.35465431133040504
0.565,0.9782394219412214,0.9678263956687672,0.985194203353886,0.6672706681766705,0.640681883412136,0.694671186221291,0.35982499999999995,0.381945,0.33801,0.021760578058778624,0.014805796646114033,0.03217360433123284,0.33272933182332953,0.305328813778709,0.35931811658786394
0.57,0.978668871434477,0.9684547215212159,0.9854884348796761,0.6627324805775721,0.6359788841357968,0.6903332845361831,0.36285,0.38521,0.34077999999999997,0.021331128565522994,0.014511565120323922,0.03154527847878408,0.33726751942242794,0.30966671546381686,0.36402111586420316
0.575,0.979091219678852,0.9690729151506331,0.9857777205740396,0.6581509954661936,0.631236194683525,0.6859490617718,0.36587499999999995,0.388475,0.34354999999999997,0.020908780321147957,0.014222279425960438,0.030927084849366904,0.3418490045338064,0.31405093822819996,0.368763805316475
0.58,0.9795066413662239,0.9696812196812197,0.9860621841017001,0.6535255902392648,0.6264533104883123,0.6815177720053924,0.3689,0.39174000000000003,0.34631999999999996,0.020493358633776104,0.013937815898299899,0.030318780318780325,0.3464744097607352,0.31848222799460757,0.3735466895116877
